"","MEpink","MEturquoise","MEgreenyellow","MEpaleturquoise","MEdarkred","MEmagenta","MEskyblue","MEdarkolivegreen","MEdarkturquoise","MEdarkgreen","MEcyan","MEgreen","MEblue","MEdarkorange","MEsaddlebrown","MEblack","MEwhite","MEgrey"
"ERR9604276",0.0850747744680281,0.144927364027911,0.130587585214485,0.128188336086337,-0.0769574085368077,-0.0261204346916197,0.00357917076939341,-0.00846811342626808,-0.0109764173713874,-0.072516535248504,-0.0056948691387919,-0.0133439061060762,-0.0837712013686217,-0.080591272934619,-0.0683608030851394,-0.0721638594268248,-0.0108289389156706,-0.00867600205227704
"ERR9604277",0.0832267977408781,0.143020360442422,0.0967519458137021,0.125529019798406,-0.0304702044378088,-0.0250130619921278,0.0246860688112265,-0.00417605978145535,-0.00924786586555382,-0.0725640484503923,-0.00616055436528118,-0.0133264755291359,-0.0823218971934468,-0.0783727983134747,-0.0658661688773276,-0.0710799043601488,-0.011262714111424,-0.0105996506817162
"ERR9604278",0.0835280598513531,0.144548557448771,0.0802406768698113,0.126248911146089,0.0089858147256874,-0.0251650583452979,0.0349719213243765,-0.0091807465095707,-0.00378571919879987,-0.0710267075527524,-0.00541976284679835,-0.0148188753663869,-0.0839978921056858,-0.0800342910847952,-0.0682756369255782,-0.0700633076671638,-0.0116582330916436,-0.0156471104480531
"ERR9604282",0.0966786911014476,0.130493523478134,0.0978540076521698,0.119466283226411,-0.0153804695996216,-0.0209996338626263,0.0177817954448854,-0.0120998952158774,-0.00301405268721434,-0.0587760829847431,-0.00462779976405236,-0.00840242209392011,-0.0859959017867959,-0.0688684562993433,-0.0666472653595001,-0.0617634070790803,-0.00301126146380551,-0.0134974615912118
"ERR9604283",0.0736150849600717,0.134041274444412,0.0486250988752637,0.107023588724423,0.0245622646538116,-0.0209605438815149,0.0413722143918189,-0.0048463918477805,-0.0213128028729594,-0.0653448675595634,-0.00635127183784439,-0.0153545840061059,-0.0845381115378168,-0.0710864576242498,-0.072603536295431,-0.0613955312219981,-0.0186928630676726,-0.00532615699427386
"ERR9604284",0.096301936164463,0.131323183994974,0.0945198612017151,0.122288489901272,0.000449241182315202,-0.0225119757224254,0.0221930348760213,-0.00395494945764561,-0.00750404486335543,-0.0582120279503872,-0.00172357272841929,-0.00982496737682599,-0.0868766023318978,-0.0684301120050838,-0.067520912868448,-0.0596316126224594,-0.00311174563068802,-0.00673906425696195
"ERR9604285",0.0955529262334293,0.132113940974579,0.0878294994536401,0.123412529574706,0.0111294909676142,-0.0214912604621613,0.0239443742733959,-0.000808688359387872,-0.00503730584219264,-0.058335967147654,-0.00327019035832082,-0.00906452398606019,-0.0874245301177517,-0.0682351544227018,-0.0678713441437871,-0.0595119660967217,-0.00369976614339123,-0.013368770287006
"ERR9604289",0.0797075067970473,0.121951257203451,0.0561527186717794,0.108870425510192,0.0230981199173563,-0.0182591563964061,0.0393696303968433,-0.0111578933850655,-0.00966764248786293,-0.0438422131495183,-0.00304387984854591,-0.0104360468306013,-0.0780241506070688,-0.0593171761860581,-0.045890959747929,-0.0414886835067515,-0.00679450154167809,0.0218923642317845
"ERR9604290",0.0763920876989171,0.111696939711727,0.0521251425990112,0.101997374211273,0.0281819705159228,-0.0093353777424439,0.045120438422859,-0.00901394773368684,0.000650830567387644,-0.0400928249185957,-0.0047100057544467,-0.00760480819994031,-0.0642719330757307,-0.0509816608566564,-0.0165550081265673,-0.0349064648077625,-0.00628260670692663,-0.00892639354225054
"ERR9604291",0.079706065837449,0.115388181316531,0.0243853162813915,0.10532791136181,0.0554608713698756,-0.0193403041920684,0.049019870926042,-0.0140640817309259,-0.00526284996963922,-0.0440949677387785,-0.006649698758343,-0.00927820677283988,-0.0702022354844054,-0.0540285103331885,-0.0328462913735034,-0.0395536267937305,-0.0063936369577539,-0.0101097112908154
"ERR9604294",0.0863477355878135,0.142363712669772,0.0371037087614905,0.122542089380433,0.0568759520071663,-0.0262970699155292,0.0533550021114922,-0.0052386870626468,-0.015274858465822,-0.0680158955138592,-0.00635259119195901,-0.0155757924029777,-0.0878974015471565,-0.0774667670269188,-0.0761405946077283,-0.0696804814526472,-0.0203033537327298,-0.011996308553022
"ERR9604296",0.061093178352634,0.1288025584669,0.0318712532266066,0.0992919392726652,0.032143628451316,-0.021186656007809,0.0417611523214332,-0.00586112222693364,-0.0131531110159549,-0.0372854631245476,-0.00560878586124727,-0.0141867609262681,-0.0962284351431421,-0.0617767603538608,-0.0779661994551877,-0.0247932070224741,0.00104489266772231,-0.0119726465165524
"ERR9604297",0.0530657069815672,0.124893647475585,0.0599239875096682,0.0911565545999783,-0.00051702962256392,-0.01533227300232,0.0271817101680378,-0.0139009606529248,-0.0110825162967282,-0.0281222312486303,-0.00278383006787927,-0.0143629438294304,-0.100006846567106,-0.0570834334862242,-0.0792978229513866,-0.0122817095257099,0.00709123166986827,-0.0136240650728916
"ERR9604298",0.0554776697812118,0.127012776387817,0.0286591466996566,0.0972883093078105,0.0328798120003314,-0.0176113373165977,0.0404552847299101,-0.0123520346086506,-0.0113073125833069,-0.030708889411889,-0.0037809712453435,-0.0151876498224368,-0.0987304112615702,-0.0613889301255955,-0.0762726429127615,-0.0167397658588126,0.00243711346563944,0.00312629881877764
"ERR9604338",0.0738756544981411,0.13690926288483,0.0459445575497135,0.107626057223384,0.0133234038584122,-0.0260444721543949,0.0336121703768376,-0.00844626036559008,-0.0234061177950134,-0.0704123244767131,-0.00565861263596205,-0.0163156945432444,-0.0864093120335024,-0.0718974642436964,-0.0764356384347274,-0.0625734625654327,-0.0134084722861402,-0.00970200855383271
