"","MEblue","MEsalmon","MEroyalblue","MEpink","MEsienna3","MEpaleturquoise","MEplum1","MEdarkred","MEmidnightblue","MEbrown","MEdarkgreen","MEcyan","MEmagenta","MEgreenyellow","MEwhite","MEblack","MEturquoise","MElightsteelblue1","MEgreen","MEorangered4","MEskyblue3","MEgrey"
"SRR30310349",0.0332924752220716,0.0307635439778393,-0.0870720199285197,-0.00619654448074667,-0.0325342032072397,0.0175129859787134,0.0635087644967609,0.0111346200222692,-0.0131460945552569,-0.0368061179244655,-0.00887589829703892,-0.046453181496149,0.0194675717653733,0.0572891637826772,0.084442305887176,0.0119024300553323,-0.0205104375216875,-0.0303175023789937,0.0396927318665461,-0.00265685316425364,-0.0112848714016457,-0.0283971591683442
"SRR30310350",0.0231438919349141,0.0293448218738443,-0.0240675640165795,0.0529095587647104,0.0217396489331866,0.00577217084467643,0.0835904755979406,0.0192410741500313,-0.0246406405608,-0.0377959589955412,-0.0238876318509597,-0.0210571182856655,0.0330799237066653,0.0828548762785733,0.107550205586371,0.045520145072827,-0.0053228979835266,-0.0253232244763814,0.183681325530243,0.0338075864755652,0.0283241602043839,0.000162679441716584
"SRR30310351",-0.0282284194120572,0.0135358048894387,-0.0117579668621796,0.0292778938213893,0.0159377395158916,-0.0644279679987471,0.00181290405427862,0.0649603553387777,0.0477554046208512,0.0239477379226112,-0.0104909009277012,-0.0251622323082003,0.00623597180082708,0.0671138114015193,0.00250198511709843,-0.0538959524241526,-0.011492916096691,0.0569100208900249,0.123205679177614,-0.0087796828300388,0.113562913176218,-0.0198649958560318
"SRR30310352",-0.00494857316422455,0.00965443782345118,-0.0203897436629256,0.052943620151737,0.0183940069592186,-0.0242925412124699,0.0287516445527631,0.0795261297409442,0.0476859928124358,0.0146781661210126,-0.00313806111671764,-0.0394312274527598,0.0200889861493567,0.0798021269239168,0.0147417789342186,-0.0205176670106656,-0.0197139308110084,0.00319482137043583,0.169008324588814,0.0189767408606737,0.0858051765043126,0.070936180864958
"SRR30310353",-0.0127291440952244,0.0217249020254221,0.026764672167582,0.0858682026654825,0.0353662012746143,-0.0405911439708402,0.0335322467670389,0.05738830478848,0.0463569915578563,0.0117087590355352,-0.00399348889235531,-0.0414541128277172,-0.00948063302728868,0.06743722430352,0.00557976244520928,-0.0435618191709068,-0.0162902346424212,0.0162084033941232,0.243049761098959,0.0143311102469485,0.129218052705196,0.00779924660622189
"SRR30310354",-0.00132519683944852,0.011126257645949,-0.0327426859207048,-0.00483749567541686,-0.0241505378843787,-0.03194338230671,0.0348436471883792,0.0344290045588896,0.0250905079384659,0.00183523455589256,-0.0137982319848796,-0.00995912251826591,0.0300432506859959,0.0326724756625349,0.0275301755969349,0.0054680007661401,-0.0164519180406096,-0.0203023201424215,0.0930736357341331,0.00348177010016485,0.00931022564296556,-0.0120479204491189
"SRR30310355",-0.00903351322506645,0.00767265268505965,-0.0179393283022525,-0.0126420828688294,-0.0342235568530078,-0.0368488026884573,0.0288206941918394,0.0342791106286951,0.0314195773257668,0.0104790734035632,-0.00917651956259093,-0.0158055413880732,0.0179761974878182,0.0197066932420629,0.022382318083301,0.00241464438645647,-0.017777504879748,-0.0154769500240969,0.0281908815758568,-0.00807419773586251,-0.0110650861309635,0.0300848024891678
"SRR30310356",-0.0106002079206224,0.01108879911926,-0.00693419304368216,0.00249334701064924,-0.0150315304779931,-0.0358461212661833,0.0243192876205872,0.0635254274230126,0.0421089009129541,0.0142929090436457,-0.00938782914678013,-0.01778220223514,0.0122067907916192,0.0606750665441128,0.0190168158806091,-0.0107743649538274,-0.0183250597849118,-0.00618551887523525,0.116967604207504,0.00512020425331509,-0.0010515645098067,0.00208831809427425
"SRR30310357",0.018285732597889,0.0226187162557225,-0.044828942336532,-0.00954248852447839,-0.0349248781633518,-0.00541431538737247,0.0749931081110134,0.00894588756176293,-0.00300972954270147,-0.0227045318374087,-0.0187075893876534,-0.0212790065824868,0.0302391835024131,0.0295751945298159,0.0590009075449432,0.0385681067917557,-0.0150694868844681,-0.0231161623782594,0.0663742656034366,0.00679008537724346,-0.00394909807034105,-0.00524388184274686
"SRR30310358",0.0362504844193989,0.0383654124369444,-0.0962610519525324,-0.00605688916165934,-0.0415041016058368,0.00447213990399868,0.100400539582186,-0.0109175297132356,-0.0309671612113751,-0.0477954535751254,-0.0303147268688636,-0.0190379554789832,0.0582756533574433,0.0491525082913439,0.0754625462476445,0.0572759793912883,-0.0133816136262687,-0.0335298027903302,0.0485596544378968,-0.00574264257261466,0.00331432483940801,0.0400258920934702
"SRR30310359",0.0157918796307638,0.0324638706784982,-0.0668235764050773,-0.00351710316717928,-0.0306730355793759,-0.0267804016968305,0.0405475029107718,0.0248756604023423,0.0159260501327538,-0.0173402463758818,-0.0276190595035521,-0.0276658526689144,0.0204154922342722,0.0369070937016982,0.0261949676627647,0.000703332676451001,-0.0220854937068232,-0.0165013288618702,0.0701698897746995,0.00436370587774763,-0.00465590550816953,-0.0284094253772503
"SRR30310360",0.0218630395868405,0.0297477332394417,-0.0440454243107074,-0.00570844956696461,-0.0263664151129366,-0.00918747187952786,0.0629511013566061,0.019752704144946,0.0010478669340335,-0.0254734980106494,-0.0251251245553054,-0.0252514801393184,0.0296634591576288,0.0480916179635275,0.0548415998492884,0.0213782675342304,-0.0188760656839627,-0.0269702542375281,0.0742418935901642,0.0147955355180537,-0.00538443986269288,0.02667054485629
"SRR30310361",-0.00253095614993367,0.0221504666225081,0.0327119124086709,0.08222677347569,0.0323844082520652,-0.0240188251393697,0.0632689162512612,0.044392680096973,0.0298572272285783,-0.000614912150976587,-0.0138846623673028,-0.0226914384363279,0.00718391162964907,0.0600075838627706,0.0382503000376441,-0.0022217225787587,-0.00984792088646264,-0.0120139952710018,0.292764660320414,0.0471348338132872,0.153459278170906,0.00225328990378616
"SRR30310362",-0.0120631244140346,0.0200129991153365,0.0132434723087551,0.0686784443134171,0.0330200288748254,-0.0306674801699653,0.0530828979974125,0.0585548487217272,0.0367377498978506,0.0064665628198965,-0.00943846068184698,-0.0284450443803797,0.00334103712952984,0.0758903356813013,0.0323225252798951,-0.018580430774856,-0.00990449665237172,0.00757967880565053,0.223398513415011,0.0300809699509037,0.171667738101124,-0.0242282187318156
"SRR30310363",-0.0241905637677938,0.0171338136576623,0.0128115639138842,0.0472457768909855,0.0242621876604636,-0.0477591887560023,0.040006640515135,0.0661790630807107,0.0418998732362694,0.0167902165164259,-0.0153976954037412,-0.0175146269315717,0.00800325016224887,0.0830512067759073,0.022417344113066,-0.0238025193312012,-0.00648455230155503,0.0273678886750032,0.249911730584524,0.0247157635262396,0.130245302440623,-0.00477634376418878
